import time: self [us] | cumulative | imported package
import time:       166 |        166 |                           email.base64mime
import time:       580 |        580 |                               quopri
import time:       258 |        837 |                             email.encoders
import time:       305 |       1142 |                           email.charset
import time:      1005 |       2549 |                         email.header
import time:       269 |        269 |                           email._parseaddr
import time:       599 |        868 |                         email.utils
import time:       526 |       3942 |                       email._policybase
import time:       880 |       5480 |                     email.feedparser
import time:       410 |       5889 |                   email.parser
import time:       260 |        260 |                     email._encoded_words
import time:       154 |        154 |                     email.iterators
import time:       800 |       1213 |                   email.message
import time:      1298 |      57297 |                 http.client
import time:     13771 |      13771 |                             wandb_graphql.pyutils
import time:     12372 |      26143 |                           wandb_graphql.pyutils.version
import time:     25088 |      25088 |                                     wandb_promise.pyutils
import time:     10362 |      35450 |                                   wandb_promise.pyutils.version
import time:     11365 |      11365 |                                     wandb_promise.async_
import time:     24655 |      24655 |                                       wandb_promise.iterate_promise
import time:     17070 |      41724 |                                     wandb_promise.compat
import time:     61081 |      61081 |                                     wandb_promise.utils
import time:    101222 |     101222 |                                     wandb_promise.promise_list
import time:    171885 |     171885 |                                       wandb_promise.schedulers
import time:    208905 |     380789 |                                     wandb_promise.schedulers.immediate
import time:      8650 |     604829 |                                   wandb_promise.promise
import time:     10930 |     651208 |                                 wandb_promise
import time:    196688 |     196688 |                                       wandb_graphql.language
import time:    122859 |     319546 |                                     wandb_graphql.language.location
import time:    225427 |     544972 |                                   wandb_graphql.error.base
import time:     64526 |      64526 |                                   wandb_graphql.error.located_error
import time:     90651 |      90651 |                                   wandb_graphql.error.syntax_error
import time:     94600 |      94600 |                                   wandb_graphql.error.format_error
import time:    197389 |     992136 |                                 wandb_graphql.error
import time:    127575 |     127575 |                                 wandb_graphql.pyutils.default_ordered_dict
import time:    106882 |     106882 |                                   cyordereddict
import time:     89367 |     196249 |                                 wandb_graphql.pyutils.ordereddict
import time:     74408 |      74408 |                                     wandb_graphql.language.ast
import time:     75802 |      75802 |                                     wandb_graphql.pyutils.cached_property
import time:    112809 |     112809 |                                       wandb_graphql.utils
import time:     80469 |     193277 |                                     wandb_graphql.utils.assert_valid_name
import time:    100263 |     443749 |                                   wandb_graphql.type.definition
import time:    115610 |     115610 |                                     wandb_graphql.type.scalars
import time:     56533 |     172143 |                                   wandb_graphql.type.directives
import time:     46166 |      46166 |                                           wandb_graphql.language.visitor_meta
import time:     68903 |     115068 |                                         wandb_graphql.language.visitor
import time:    140279 |     255346 |                                       wandb_graphql.language.printer
import time:     53145 |      53145 |                                       wandb_graphql.utils.ast_from_value
import time:    157558 |     466048 |                                     wandb_graphql.type.introspection
import time:     99595 |      99595 |                                       wandb_graphql.utils.type_comparators
import time:     91689 |     191283 |                                     wandb_graphql.type.typemap
import time:    122724 |     780054 |                                   wandb_graphql.type.schema
import time:    146331 |    1542275 |                                 wandb_graphql.type
import time:     66206 |      66206 |                                   wandb_graphql.utils.type_from_ast
import time:     60079 |      60079 |                                     wandb_graphql.utils.is_valid_value
import time:     49580 |      49580 |                                     wandb_graphql.utils.value_from_ast
import time:     77252 |     186910 |                                   wandb_graphql.execution.values
import time:     95579 |     348694 |                                 wandb_graphql.execution.base
import time:     63625 |      63625 |                                   wandb_graphql.execution.executors
